movie_id,genre_id
10835,80
10835,18
10835,53
9552,27
9552,18
10195,12
10195,14
10195,28
537915,18
537915,10749
1891,12
1891,28
1891,878
8689,27
976573,16
976573,10751
976573,10749
976573,14
976573,35
64690,18
64690,53
64690,80
1181678,35
1181678,10749
665,36
665,18
665,12
1008409,80
1008409,18
22881,18
718930,28
718930,35
718930,53
628847,28
628847,80
628847,53
392044,9648
392044,18
392044,80
458156,28
458156,53
458156,80
1366,18
568124,16
568124,35
568124,10751
568124,14
619979,18
619979,9648
619979,53
580489,878
580489,28
580489,12
78,878
78,18
78,53
493922,27
493922,9648
493922,53
131631,878
131631,12
131631,53
348893,28
348893,18
348893,53
348893,80
76492,16
76492,35
76492,10751
76492,14
176,27
176,9648
176,80
72105,35
72105,14
546554,35
546554,80
546554,9648
298618,28
298618,878
298618,12
12201,80
12201,18
12201,9648
12201,53
11970,16
11970,10751
11970,14
11970,12
11970,35
11970,10749
1724,878
1724,28
1724,12
1043197,14
1043197,28
1043197,27
621,10749
621,35
7485,18
7485,28
7485,53
1010756,27
1010756,53
73,18
604,12
604,28
604,53
604,878
840326,28
840326,10752
840326,53
940551,10751
940551,35
940551,12
940551,16
381288,27
381288,53
480530,18
480530,28
615656,28
615656,878
615656,27
670292,878
670292,28
670292,12
948,27
948,53
11688,12
11688,16
11688,35
11688,10751
11688,14
447277,12
447277,10751
447277,14
447277,10749
235,80
235,18
87101,878
87101,28
87101,53
49521,28
49521,12
49521,878
791373,28
791373,12
791373,14
519465,18
242582,80
242582,18
242582,53
419430,9648
419430,53
419430,27
284052,14
284052,12
284052,28
7485,18
7485,28
7485,53
414419,28
414419,80
420817,12
420817,14
420817,10749
420817,10751
605,12
605,28
605,53
605,878
760104,27
760104,53
615656,28
615656,878
615656,27
297802,28
297802,12
297802,14
12155,10751
12155,14
12155,12
87101,878
87101,28
87101,53
335,18
335,37
718930,28
718930,35
718930,53
957119,35
957119,10749
72105,35
72105,14
146233,18
146233,53
146233,80
745,9648
745,53
745,18
653346,878
653346,12
653346,28
568124,16
568124,35
568124,10751
568124,14
792307,878
792307,10749
792307,35
424694,10402
424694,18
645710,53
436270,28
436270,12
436270,878
1064028,878
1064028,27
1064028,53
120467,35
120467,18
345,18
345,53
345,9648
257344,28
257344,35
257344,878
197,28
197,18
197,36
197,10752
36557,12
36557,28
36557,53
301528,10751
301528,35
301528,16
301528,12
249397,18
249397,9648
420818,12
420818,18
420818,10751
420818,16
607,28
607,12
607,35
607,878
333339,12
